"BBL","Address","Initial Benefit Year","Exemption Years","Tax Year","Total # of MCIs","# of MCIs Granted in Full or Partial","# of MCIs Granted in Full","# of MCIs Denied"
1010110045,"128 CENTRAL PARK S",1990,14,2000,3,3,1,0
1010240001,"888 8TH AVE",1992,14,2000,2,2,1,0
1010300058,"240 CENTRAL PARK S",1990,14,2000,2,2,0,0
1010330048,"330 W 43RD ST",1991,14,2000,1,1,1,0
1010340009,"333 W 43RD ST",1992,14,2000,1,1,1,0
1010350047,"330 W 45TH ST",1994,14,2000,1,1,0,0
1010360029,"301 W 45TH ST",1993,14,2000,3,2,0,1
1010360061,"374 W 46TH ST",1989,14,2000,1,1,1,0
1010380005,"355 W 47TH ST",1990,14,2000,1,1,1,0
1010390045,"318 W 49TH ST",1996,34,2000,3,3,3,0
1010390046,"320 W 49TH ST",1997,34,2000,2,2,2,0
1010390047,"322 W 49TH ST",1997,34,2000,2,2,2,0
1010390048,"324 W 49TH ST",1997,34,2000,2,2,2,0
1010390049,"326 W 49TH ST",1997,34,2000,2,2,2,0
1010390050,"328 W 49TH ST",1995,34,2000,2,2,2,0
1010390051,"330 W 49TH ST",1997,34,2000,2,2,2,0
1010390052,"332 W 49TH ST",1997,34,2000,2,1,1,1
1010390054,"336 W 49TH ST",1997,14,2000,3,3,3,0
1010390055,"338 W 49TH ST",1998,14,2000,2,2,2,0
1010390056,"340 W 49TH ST",1995,34,2000,2,2,2,0
1010410050,"350 W 51ST ST",1996,14,2000,1,1,0,0
1010420009,"353 W 51ST ST",1987,14,2000,1,1,0,0
1010430063,"794 9TH AVE",1997,14,2000,1,1,0,0
1010450050,"330 W 55TH ST",1995,14,2000,1,1,0,0
1010450054,"350 W 55TH ST",1998,34,2000,3,3,2,0
1010460009,"347 W 55TH ST",1996,14,2000,2,2,0,0
1010460054,"342 W 56TH ST",1997,14,2000,1,1,1,0
1010490001,"22 TO 98 W 60TH ST",1996,14,2000,2,2,1,0
1010540062,"630 10TH AVE",1997,14,2000,2,2,1,0
1010550031,"649 9TH AVE",1998,14,2000,2,1,1,1
